Filename,File Size,Creation Date,Original Path
sortD.sh,600.00 B,02-04-26,/Users/steven/clean
index2.html,97.35 KB,02-04-26,/Users/steven/clean
config.py,162.00 B,02-04-26,/Users/steven/clean
requirements.txt,67.00 B,02-04-26,/Users/steven/clean
audio-02-04-11:02.csv,57.00 B,02-04-26,/Users/steven/clean
batch-info.py,8.46 KB,02-04-26,/Users/steven/clean
docs.py,6.76 KB,02-04-26,/Users/steven/clean
other.py,7.47 KB,02-04-26,/Users/steven/clean
all.py,16.32 KB,02-04-26,/Users/steven/clean
img.py,7.24 KB,02-04-26,/Users/steven/clean
run.sh,777.00 B,02-04-26,/Users/steven/clean
script_output.csv,435.00 B,02-04-26,/Users/steven/clean
vids.py,7.55 KB,02-04-26,/Users/steven/clean
audio.py,7.76 KB,02-04-26,/Users/steven/clean
vids.txt,19.00 B,02-04-26,/Users/steven/clean
audio_output.csv,57.00 B,02-04-26,/Users/steven/clean
back-clean.sh,994.00 B,02-04-26,/Users/steven/clean
